card_set,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
"2022 playoff national treasures football - crossover rookie patch autographs brand logo",5,5,0,5,0
"2022 playoff national treasures football - crossover rookie patch autographs dual",4,4,0,4,0
"2022 playoff national treasures football - crossover rookie patch autographs dual platinum",4,4,0,4,0
"2022 playoff national treasures football - crossover rookie patch autographs holo gold",4,4,0,4,0
"2022 playoff national treasures football - crossover rookie patch autographs holo silver",5,5,0,5,0
"2022 playoff national treasures football - crossover rookie patch autographs laundry tag",5,5,0,5,0
"2022 playoff national treasures football - crossover rookie patch autographs nfl shield",5,5,0,5,0
"2022 playoff national treasures football - gridiron graphs",5,0,0,0,0
"2022 playoff national treasures football - gridiron graphs platinum",5,0,0,0,0
"2022 playoff national treasures football - material treasures signatures",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures holo silver",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures laundry tag",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures laundry tag brand logo",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures laundry tag nfl shield",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures printing plate black",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures printing plate cyan",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures printing plate magenta",5,5,0,5,0
"2022 playoff national treasures football - material treasures signatures printing plate yellow",5,5,0,5,0
"2022 playoff national treasures football - nfl greatest signatures",2,2,0,2,0
"2022 playoff national treasures football - notable nicknames",1,0,0,0,0
"2022 playoff national treasures football - rookie first edition signatures booklet",2,2,0,2,0
"2022 playoff national treasures football - rookie first edition signatures booklet holo gold",1,1,0,1,0
"2022 playoff national treasures football - rookie first edition signatures booklet holo silver",1,1,0,1,0
"2022 playoff national treasures football - rookie first edition signatures booklet platinum",1,1,0,1,0
"2022 playoff national treasures football - rookie gloves brand logo signatures",1,1,0,1,0
"2022 playoff national treasures football - rookie gloves signatures",1,1,0,1,0
"2022 playoff national treasures football - rookie gloves signatures holo silver",1,1,0,1,0
"2022 playoff national treasures football - rookie gloves signatures purple",1,1,0,1,0
"2022 playoff national treasures football - rookie hats off signatures button top",2,2,0,2,0
"2022 playoff national treasures football - rookie hats off signatures new era",2,2,0,2,0
"2022 playoff national treasures football - rookie hats off signatures new era laundry tag",2,2,0,2,0
"2022 playoff national treasures football - rookie hats off signatures nfl shield",2,2,0,2,0
"2022 playoff national treasures football - rookie hats off signatures nfl shield laundry tag",2,2,0,2,0
"2022 playoff national treasures football - rookie hats off signatures team logo",2,2,0,2,0
"2022 playoff national treasures football - rookie jumbo prime signatures booklet",4,4,0,4,0
"2022 playoff national treasures football - rookie jumbo prime signatures booklet brand logo",4,4,0,4,0
"2022 playoff national treasures football - rookie jumbo prime signatures booklet football",4,4,0,4,0
"2022 playoff national treasures football - rookie jumbo prime signatures booklet laundry tag",4,4,0,4,0
"2022 playoff national treasures football - rookie jumbo prime signatures booklet nfl shield",4,4,0,4,0
"2022 playoff national treasures football - rookie laundry tag nfl player's signatures",1,1,0,1,0
"2022 playoff national treasures football - rookie laundry tag nike swoosh signatures",1,1,0,1,0
"2022 playoff national treasures football - rookie material signatures rps",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps black",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps blue",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps brand logo red",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps holo gold",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps holo silver",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps laundry tag red",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps nfl shield red",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps numbers green",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps printing plate black",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps printing plate cyan",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps printing plate magenta",4,4,0,4,0
"2022 playoff national treasures football - rookie material signatures rps printing plate yellow",4,4,0,4,0
"2022 playoff national treasures football - rookie nfl gear signature combos",2,2,0,2,0
"2022 playoff national treasures football - rookie nfl gear signature combos holo gold",2,2,0,2,0
"2022 playoff national treasures football - rookie nfl gear signature combos holo silver",2,2,0,2,0
"2022 playoff national treasures football - rookie nfl gear signature combos laundry tag brand logo",2,2,0,2,0
"2022 playoff national treasures football - rookie nfl gear signature combos laundry tag nfl player's",2,2,0,2,0
"2022 playoff national treasures football - rookie nfl gear signature combos laundry tag nfl shield",2,2,0,2,0
"2022 playoff national treasures football - rookie patch autographs",6,6,0,6,0
"2022 playoff national treasures football - rookie patch autographs black",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs green jersey number",7,7,0,7,0
"2022 playoff national treasures football - rookie patch autographs holo gold",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs holo silver",6,6,0,6,0
"2022 playoff national treasures football - rookie patch autographs midnight",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs platinum nfl shield",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs printing plate black",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs printing plate cyan",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs printing plate magenta",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs printing plate yellow",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs purple",6,6,0,6,0
"2022 playoff national treasures football - rookie patch autographs red",5,5,0,5,0
"2022 playoff national treasures football - rookie patch autographs red brand logo",6,6,0,6,0
"2022 playoff national treasures football - rookie patch autographs red laundry tag",6,6,0,6,0
"2022 playoff national treasures football - rookie patch autographs stars and stripes blue",10,10,0,10,0
"2022 playoff national treasures football - rookie patch autographs stars and stripes holo silver",10,10,0,10,0
"2022 playoff national treasures football - rookie patch autographs stars and stripes red brand logo",10,10,0,10,0
"2022 playoff national treasures football - rookie patch autographs stars and stripes red laundry tag",10,10,0,10,0
"2022 playoff national treasures football - rookie signatures field pass",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass black",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass gold",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass holo silver",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass platinum",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass printing plate black",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass printing plate cyan",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass printing plate magenta",4,4,0,4,0
"2022 playoff national treasures football - rookie signatures field pass printing plate yellow",4,4,0,4,0
"2022 playoff national treasures football - rookie treasured impressions",3,0,0,0,0
"2022 playoff national treasures football - rookie treasured impressions brand logo",3,0,0,0,0
"2022 playoff national treasures football - rookie treasured impressions holo gold",3,0,0,0,0
"2022 playoff national treasures football - rookie treasured impressions holo silver",3,0,0,0,0
"2022 playoff national treasures football - rookie treasured impressions tag",3,0,0,0,0
"2022 playoff national treasures football - rookie treasured impressions team logo",3,0,0,0,0
"2022 playoff national treasures football - rookie treasures blue",4,0,0,0,0
"2022 playoff national treasures football - rookie treasures hidden treasure",4,0,0,0,0
"2022 playoff national treasures football - rookie treasures holo silver",4,0,0,0,0
"2022 playoff national treasures football - rookie treasures platinum nfl shield",4,0,0,0,0
"2022 playoff national treasures football - signature treasury",3,3,0,3,0
"2022 playoff national treasures football - signature treasury platinum",1,1,0,1,0
"2022 playoff national treasures football - synced signatures",12,12,0,12,0
"2022 playoff national treasures football - the future holo silver",4,0,0,0,0
"2022 playoff national treasures football - the future platinum",4,0,0,0,0
"2022 playoff national treasures football - virtuoso",7,0,0,0,0
"2022 prizm draft picks autographs",91,91,0,91,0
"2022 prizm draft picks autographs black",91,91,91,0,91
"2022 prizm draft picks autographs black gold",91,91,91,0,455
"2022 prizm draft picks autographs blue",86,86,86,0,12814
"2022 prizm draft picks autographs blue ice",90,90,90,0,6750
"2022 prizm draft picks autographs gold",91,91,91,0,910
"2022 prizm draft picks autographs hyper",86,86,0,86,0
"2022 prizm draft picks autographs mojo",92,92,91,1,2275
"2022 prizm draft picks autographs orange pulsar",91,91,90,1,4410
"2022 prizm draft picks autographs purple ice",89,89,89,0,8811
"2022 prizm draft picks autographs red",86,86,86,0,17114
"2022 prizm draft picks autographs silver",83,83,0,83,0
"2022 prizm draft picks sensational signatures",100,100,0,100,0
"2022 prizm draft picks sensational signatures gold flash",121,121,57,64,285
"2022 prizm draft picks sensational signatures gold ice",101,101,0,101,0
"2022 prizm draft picks sensational signatures green",101,101,0,101,0
"2022 prizm draft picks sensational signatures green pulsar",121,121,58,63,1450
"2022 prizm draft picks sensational signatures orange wave",121,121,58,63,3752
"2022 prizm draft picks sensational signatures pink pulsar",121,121,58,63,870
"2022 prizm draft picks sensational signatures pink wave",121,121,57,64,855
"2022 prizm draft picks sensational signatures red flash",121,121,58,63,290
"2022 prizm draft picks sensational signatures red ice",101,101,0,101,0
"2022 prizm draft picks sensational signatures silver",100,100,0,100,0
"2022 super bowl signatures",2,2,0,2,0
"2022 team tandems",6,0,0,0,0
"2022 xrc black prizm",20,0,0,0,0
"2022 xrc gold prizm",20,0,0,0,0
"2022 xrc mystery autograph black prizm",5,5,5,0,5
"2022 xrc mystery autograph gold prizm",5,5,5,0,50
"2022 xrc mystery autograph prizm",5,5,5,0,495
"2022 xrc mystery autograph tie-dye prizm",5,5,5,0,125
"2022 xrc prizm",20,0,0,0,0
"2022 xrc tie-dye prizm",20,0,0,0,0
2023,20,0,0,0,0
"2023 donruss optic football - rated rookies rps autographs",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs black pandora",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs blue",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs gold",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs gold vinyl",4,4,0,4,0
"2023 donruss optic football - rated rookies rps autographs green",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs holo",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs ice",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs pink velocity",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs purple",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs purple stars",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs red",5,5,0,5,0
"2023 donruss optic football - rated rookies rps autographs red stars",5,5,0,5,0
"2023 panini black football - midnight signatures",3,3,0,3,0
"2023 panini black football - midnight signatures emerald",3,3,0,3,0
"2023 panini black football - midnight signatures gold",3,3,0,3,0
"2023 panini black football - midnight signatures platinum",2,2,0,2,0
"2023 panini black football - midnight signatures royal",3,3,0,3,0
"2023 panini black football - night lights signatures",1,1,0,1,0
"2023 panini black football - night lights signatures emerald",1,1,0,1,0
"2023 panini black football - night lights signatures gold",1,1,0,1,0
"2023 panini black football - night lights signatures platinum",1,1,0,1,0
"2023 panini black football - night lights signatures royal",1,1,0,1,0
"2023 panini black football - smoke show signatures",1,1,0,1,0
"2023 panini black football - smoke show signatures emerald",1,1,0,1,0
"2023 panini black football - smoke show signatures gold",1,1,0,1,0
"2023 panini black football - smoke show signatures platinum",1,1,0,1,0
"2023 panini black football - smoke show signatures royal",1,1,0,1,0
"2023 panini flawless collegiate fb - flawless rookie patch autographs horizontal conference logo",2,2,0,2,0
"2023 panini flawless collegiate football - campus legends signatures",2,2,0,2,0
"2023 panini flawless collegiate football - campus legends signatures emerald",2,2,0,2,0
"2023 panini flawless collegiate football - campus legends signatures gold",2,2,0,2,0
"2023 panini flawless collegiate football - campus legends signatures platinum",2,2,0,2,0
"2023 panini flawless collegiate football - campus legends signatures ruby",2,2,0,2,0
"2023 panini flawless collegiate football - campus legends signatures sapphire",2,2,0,2,0
"2023 panini flawless collegiate football - dual patch autographs",9,9,0,9,0
"2023 panini flawless collegiate football - dual patch autographs emerald",9,9,0,9,0
"2023 panini flawless collegiate football - dual patch autographs gold",10,10,0,10,0
"2023 panini flawless collegiate football - dual patch autographs pink",9,9,0,9,0
"2023 panini flawless collegiate football - dual patch autographs platinum",10,10,0,10,0
"2023 panini flawless collegiate football - dual patch autographs ruby",9,9,0,9,0
"2023 panini flawless collegiate football - dual patch autographs sapphire",9,9,0,9,0
"2023 panini flawless collegiate football - flawless rookie gems signatures",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie gems signatures gold",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie gems signatures platinum",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie gems signatures ruby",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie gems signatures sapphire",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal brand logo",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal emerald",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal gold",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal pink",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal platinum",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal ruby",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal sapphire",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs horizontal team logo",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical",3,3,0,3,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical brand logo",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical conference logo",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical emerald",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical gold",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical pink",1,1,0,1,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical platinum",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical ruby",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical sapphire",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie patch autographs vertical team logo",2,2,0,2,0
"2023 panini flawless collegiate football - flawless rookie team slogan signatures platinum",1,1,0,1,0
"2023 panini flawless collegiate football - patch autographs",14,14,0,14,0
"2023 panini flawless collegiate football - patch autographs emerald",15,15,0,15,0
"2023 panini flawless collegiate football - patch autographs gold",14,14,0,14,0
"2023 panini flawless collegiate football - patch autographs pink",15,15,0,15,0
"2023 panini flawless collegiate football - patch autographs platinum",15,15,0,15,0
"2023 panini flawless collegiate football - patch autographs ruby",14,14,0,14,0
"2023 panini flawless collegiate football - patch autographs sapphire",14,14,0,14,0
"2023 panini flawless collegiate football - rookie autographs",12,12,0,12,0
"2023 panini flawless collegiate football - rookie autographs emerald",11,11,0,11,0
"2023 panini flawless collegiate football - rookie autographs gold",11,11,0,11,0
"2023 panini flawless collegiate football - rookie autographs platinum",12,12,0,12,0
"2023 panini flawless collegiate football - rookie autographs ruby",12,12,0,12,0
"2023 panini flawless collegiate football - rookie autographs sapphire",12,12,0,12,0
"2023 panini flawless collegiate football - star swatch signatures",10,10,0,10,0
"2023 panini flawless collegiate football - star swatch signatures emerald",11,11,0,11,0
"2023 panini flawless collegiate football - star swatch signatures gold",11,11,0,11,0
"2023 panini flawless collegiate football - star swatch signatures pink",11,11,0,11,0
"2023 panini flawless collegiate football - star swatch signatures platinum",11,11,0,11,0
"2023 panini flawless collegiate football - star swatch signatures ruby",11,11,0,11,0
"2023 panini flawless collegiate football - star swatch signatures sapphire",11,11,0,11,0
"2023 panini flawless collegiate football - team logo signatures",12,12,0,12,0
"2023 panini flawless collegiate football - team logo signatures emerald",12,12,0,12,0
"2023 panini flawless collegiate football - team logo signatures gold",12,12,0,12,0
"2023 panini flawless collegiate football - team logo signatures platinum",12,12,0,12,0
"2023 panini flawless collegiate football - team logo signatures ruby",12,12,0,12,0
"2023 panini flawless collegiate football - team logo signatures sapphire",12,12,0,12,0
"2023 panini national treasures collegiate fb - college materials signature booklet bowl logo 1",3,3,0,3,0
"2023 panini national treasures collegiate fb - college materials signature booklet bowl logo 2",3,3,0,3,0
"2023 panini national treasures collegiate fb - college materials signature booklet bowl logo 3",3,3,0,3,0
"2023 panini national treasures collegiate fb - college materials signature booklet brand logo",4,4,0,4,0
"2023 panini national treasures collegiate fb - college materials signature booklet conference logo",3,3,0,3,0
"2023 panini national treasures collegiate fb - college materials signature booklet team slogan",3,3,0,3,0
"2023 panini national treasures collegiate football - college materials signature booklet",5,5,0,5,0
"2023 panini national treasures collegiate football - college materials signature booklet blue",5,5,0,5,0
"2023 panini national treasures collegiate football - college materials signature booklet gold",6,6,0,6,0
"2023 panini national treasures collegiate football - college materials signature booklet platinum",5,5,0,5,0
"2023 panini national treasures collegiate football - college materials signature booklet red",5,5,0,5,0
"2023 panini national treasures collegiate football - college materials signature booklet team logo",4,4,0,4,0
"2023 panini national treasures collegiate football - college materials signatures",3,3,0,3,0
"2023 panini national treasures collegiate football - college materials signatures blue",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures bowl logo 1",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures bowl logo 2",1,1,0,1,0
"2023 panini national treasures collegiate football - college materials signatures bowl logo 3",1,1,0,1,0
"2023 panini national treasures collegiate football - college materials signatures brand logo",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures conference logo",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures emerald",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures gold",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures platinum",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures purple",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures red",5,5,0,5,0
"2023 panini national treasures collegiate football - college materials signatures silver",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures team logo shield",2,2,0,2,0
"2023 panini national treasures collegiate football - college materials signatures team slogan",1,1,0,1,0
"2023 panini national treasures collegiate football - college silhouettes signatures",2,2,0,2,0
"2023 panini national treasures collegiate football - college silhouettes signatures blue",3,3,0,3,0
"2023 panini national treasures collegiate football - college silhouettes signatures bowl logo 1",3,3,0,3,0
"2023 panini national treasures collegiate football - college silhouettes signatures bowl logo 2",2,2,0,2,0
"2023 panini national treasures collegiate football - college silhouettes signatures bowl logo 3",1,1,0,1,0
"2023 panini national treasures collegiate football - college silhouettes signatures brand logo",1,1,0,1,0
"2023 panini national treasures collegiate football - college silhouettes signatures conference logo",2,2,0,2,0
"2023 panini national treasures collegiate football - college silhouettes signatures emerald",2,2,0,2,0
"2023 panini national treasures collegiate football - college silhouettes signatures gold",3,3,0,3,0
"2023 panini national treasures collegiate football - college silhouettes signatures platinum",2,2,0,2,0
"2023 panini national treasures collegiate football - college silhouettes signatures purple",4,4,0,4,0
"2023 panini national treasures collegiate football - college silhouettes signatures red",6,6,0,6,0
"2023 panini national treasures collegiate football - college silhouettes signatures silver",4,4,0,4,0
"2023 panini national treasures collegiate football - college silhouettes signatures team logo shield",2,2,0,2,0
"2023 panini national treasures collegiate football - college silhouettes signatures team slogan",2,2,0,2,0
"2023 panini national treasures collegiate football - flawless dual signatures",2,2,0,2,0
"2023 panini national treasures collegiate football - flawless dual signatures emerald",2,2,0,2,0
"2023 panini national treasures collegiate football - flawless dual signatures gold",2,2,0,2,0
"2023 panini national treasures collegiate football - flawless dual signatures pink",2,2,0,2,0
"2023 panini national treasures collegiate football - flawless dual signatures platinum",2,2,0,2,0
"2023 panini national treasures collegiate football - flawless dual signatures ruby",2,2,0,2,0
"2023 panini national treasures collegiate football - flawless dual signatures sapphire",2,2,0,2,0
"2023 panini national treasures collegiate football - notable nicknames",2,0,0,0,0
"2023 panini national treasures collegiate football - notable nicknames gold",2,0,0,0,0
"2023 panini national treasures collegiate football - notable nicknames platinum",2,0,0,0,0
"2023 panini national treasures collegiate football - team logo signatures",8,8,0,8,0
"2023 panini national treasures collegiate football - team logo signatures gold",6,6,0,6,0
"2023 panini national treasures collegiate football - team logo signatures platinum",7,7,0,7,0
"2023 panini national treasures collegiate football - team slogan signatures die cuts",5,5,0,5,0
"2023 panini national treasures collegiate football - team slogan signatures die cuts gold",5,5,0,5,0
"2023 panini national treasures collegiate football - team slogan signatures die cuts platinum",4,4,0,4,0
"2023 panini nt collegiate fb - college materials signature booklet championship logo",1,1,0,1,0
"2023 panini origins football - origins autographs gold ink",1,1,0,1,0
"2023 panini origins football - origins autographs gold ink inscriptions",2,2,0,2,0
"2023 panini origins football - origins autographs silver ink",1,1,0,1,0
"2023 panini origins football - rookie autographs",2,2,0,2,0
"2023 panini origins football - rookie autographs black",2,2,0,2,0
"2023 panini origins football - rookie autographs blue",2,2,0,2,0
"2023 panini origins football - rookie autographs gold",1,1,0,1,0
"2023 panini origins football - rookie autographs green",1,1,0,1,0
"2023 panini origins football - rookie autographs orange",2,2,0,2,0
"2023 panini origins football - rookie autographs pink",1,1,0,1,0
"2023 panini origins football - rookie autographs purple",1,1,0,1,0
"2023 panini origins football - rookie autographs red",2,2,0,2,0
"2023 panini origins football - rookie autographs turquoise",2,2,0,2,0
"2023 playoff contenders football - rookie clear ticket rps",1,0,0,0,0
"2023 playoff contenders football - rookie conference ticket rps",10,0,0,0,0
"2023 playoff contenders football - rookie cracked ice ticket rps",11,0,0,0,0
"2023 playoff contenders football - rookie divisional ticket rps",9,0,0,0,0
"2023 playoff contenders football - rookie goal line ticket fotl rps",1,0,0,0,0
"2023 playoff contenders football - rookie midfield ticket rps",11,0,0,0,0
"2023 playoff contenders football - rookie playoff ticket rps",9,0,0,0,0
"2023 playoff contenders football - rookie red zone ticket fotl rps",1,0,0,0,0
"2023 playoff contenders football - rookie super bowl ticket rps",11,0,0,0,0
"2023 playoff contenders football - rookie ticket printing plate black rps",9,0,0,0,0
"2023 playoff contenders football - rookie ticket printing plate cyan rps",9,0,0,0,0
"2023 playoff contenders football - rookie ticket printing plate magenta rps",9,0,0,0,0
"2023 playoff contenders football - rookie ticket printing plate yellow rps",8,0,0,0,0
"2023 playoff contenders football - rookie ticket rps",9,0,0,0,0
"2023 playoff contenders football - rookie ticket stub rps",9,0,0,0,0
"2023 playoff contenders football - rookie variation clear ticket rps",1,0,0,0,0
"2023 playoff contenders football - rookie variation conference ticket rps",12,0,0,0,0
"2023 playoff contenders football - rookie variation cracked ice ticket rps",12,0,0,0,0
"2023 playoff contenders football - rookie variation divisional ticket rps",10,0,0,0,0
"2023 playoff contenders football - rookie variation goal line ticket fotl rps",1,0,0,0,0
"2023 playoff contenders football - rookie variation midfield ticket rps",12,0,0,0,0
"2023 playoff contenders football - rookie variation playoff ticket rps",10,0,0,0,0
"2023 playoff contenders football - rookie variation red zone ticket fotl rps",1,0,0,0,0
"2023 playoff contenders football - rookie variation super bowl ticket rps",12,0,0,0,0
"2023 playoff contenders football - rookie variation ticket printing plate black rps",9,0,0,0,0
"2023 playoff contenders football - rookie variation ticket printing plate cyan rps",9,0,0,0,0
"2023 playoff contenders football - rookie variation ticket printing plate magenta rps",9,0,0,0,0
"2023 playoff contenders football - rookie variation ticket printing plate yellow rps",9,0,0,0,0
"2023 playoff contenders football - rookie variation ticket rps",9,0,0,0,0
"2023 playoff contenders football - rookie variation ticket stub rps",9,0,0,0,0
"2023 playoff contenders football - rookie variation week 18 ticket rps",9,0,0,0,0
"2023 playoff contenders football - rookie week 18 ticket rps",9,0,0,0,0
"2023 playoff contenders football - veteran clear ticket",4,0,0,0,0
"2023 playoff contenders football - veteran conference ticket",4,0,0,0,0
"2023 playoff contenders football - veteran cracked ice ticket",4,0,0,0,0
"2023 playoff contenders football - veteran divisional ticket",4,0,0,0,0
"2023 playoff contenders football - veteran goal line ticket fotl",3,0,0,0,0
"2023 playoff contenders football - veteran midfield ticket",1,0,0,0,0
"2023 playoff contenders football - veteran playoff ticket",4,0,0,0,0
"2023 playoff contenders football - veteran red zone ticket fotl",3,0,0,0,0
"2023 playoff contenders football - veteran super bowl ticket",4,0,0,0,0
"2023 playoff contenders football - veteran ticket",3,0,0,0,0
"2023 playoff contenders football - veteran ticket printing plate black",4,0,0,0,0
"2023 playoff contenders football - veteran ticket printing plate cyan",4,0,0,0,0
"2023 playoff contenders football - veteran ticket printing plate magenta",4,0,0,0,0
"2023 playoff contenders football - veteran ticket printing plate yellow",4,0,0,0,0
"2023 playoff contenders football - veteran ticket stub",4,0,0,0,0
"2023 playoff contenders football - veteran week 18 ticket",4,0,0,0,0
"2023 xrc black prizm",20,0,0,0,0
"2023 xrc black prizm redemption",20,0,0,0,0
"2023 xrc gold prizm",20,0,0,0,0
"2023 xrc gold prizm redemption",20,0,0,0,0
"2023 xrc mystery autograph black prizm",5,5,5,0,5
"2023 xrc mystery autograph gold prizm",5,5,5,0,50
"2023 xrc mystery autograph prizm",5,5,5,0,495
"2023 xrc mystery autograph tie-dye prizm",5,5,5,0,125
"2023 xrc prizm",20,0,0,0,0
"2023 xrc prizm redemption",20,0,0,0,0
"2023 xrc tie-dye prizm",20,0,0,0,0
"2023 xrc tie-dye prizm redemption",20,0,0,0,0
"2023 youth explosion signatures",1,1,0,1,0
"2023 youth explosion signatures black prizm",1,1,0,1,0
"2023 youth explosion signatures gold prizm",1,1,0,1,0
"2023 youth explosion signatures orange pulsar prizm",1,1,0,1,0
"2023 youth explosion signatures silver prizm",1,1,0,1,0
"2024 donruss optic draft picks auto",1,1,0,1,0
"2024 donruss optic draft picks gold auto",1,1,0,1,0
"2024 donruss optic draft picks orange auto",1,1,0,1,0
"2024 donruss optic draft picks platinum auto",1,1,0,1,0
"2024 donruss optic draft picks silver auto",1,1,0,1,0
"2024 xrc black prizm",20,0,0,0,0
"2024 xrc gold prizm",20,0,0,0,0
"2024 xrc mystery autograph black prizm",5,5,5,0,5
"2024 xrc mystery autograph gold prizm",5,5,5,0,50
"2024 xrc mystery autograph prizm",5,5,5,0,495
"2024 xrc mystery autograph tie-dye prizm",5,5,5,0,125
"2024 xrc prizm",20,0,0,0,0
"2024 xrc tie-dye prizm",20,0,0,0,0
"2025 xrc black prizm",20,0,0,0,0
"2025 xrc black prizm redemption",20,0,0,0,0
"2025 xrc gold prizm",20,0,0,0,0
"2025 xrc gold prizm redemption",20,0,0,0,0
"2025 xrc mystery autograph black prizm",5,5,5,0,5
"2025 xrc mystery autograph black prizm redemption",5,5,5,0,5
"2025 xrc mystery autograph gold prizm",5,5,5,0,50
"2025 xrc mystery autograph gold prizm redemption",5,5,5,0,50
"2025 xrc mystery autograph prizm",5,5,5,0,495
"2025 xrc mystery autograph prizm redemption",5,5,5,0,495
"2025 xrc mystery autograph tie-dye prizm",5,5,5,0,125
"2025 xrc mystery autograph tie-dye prizm redemption",5,5,5,0,125
"2025 xrc prizm",20,0,0,0,0
"2025 xrc prizm redemption",20,0,0,0,0
"2025 xrc tie-dye prizm",20,0,0,0,0
"2025 xrc tie-dye prizm redemption",20,0,0,0,0
"24k autographs",66,66,66,0,2537
"24k autographs black",55,55,55,0,55
"24k autographs holo silver",15,15,15,0,15
"24k autographs platinum",45,45,45,0,346
"24k autographs rose gold",22,22,22,0,528
"24k autographs sapphire",25,25,25,0,250
"24k autographs white gold",11,11,11,0,539
"35th anniversary rookie",10,0,0,0,0
"35th anniversary rookie artist's proof",10,0,0,0,0
"35th anniversary rookie dynamics",10,0,0,0,0
"35th anniversary rookie end zone",10,0,0,0,0
"35th anniversary rookie first down",10,0,0,0,0
