year,program,total_cards,signed_cards,known_autos,unknown_autos,total_known_signed_cards
2023,"immaculate collegiate",3284,2133,2105,28,46224
2023,impeccable,3740,2113,1951,162,33077
2023,legacy,7887,1491,1377,114,52649
2023,limited,4278,1762,1762,0,59903
2023,luminance,4490,1349,1010,339,44936
2023,mosaic,21734,2399,1680,719,55182
2023,"national treasures",12597,4503,3941,562,59929
2023,"national treasures collegiate",4777,3171,3059,112,62989
2023,obsidian,7480,2026,1791,235,51730
2023,one,1823,1563,1209,354,38311
2023,optic,13866,1768,1634,134,69433
2023,origins,5080,1347,1271,76,33316
2023,phoenix,13528,3016,2744,272,76585
2023,"plates and patches",3958,789,764,25,29549
2023,prestige,13614,1334,1188,146,45360
2023,prizm,26317,2228,1913,315,55596
2023,"prizm draft picks",12514,3932,2816,1116,120439
2023,"rookies and stars",6327,872,872,0,64228
2023,score,13990,1232,973,259,13921
2023,select,24900,3542,3375,167,120080
2023,"select draft picks",7978,1778,1330,448,34805
2023,spectra,13018,3445,3402,43,81460
2023,zenith,6019,1284,1112,172,37774
2024,absolute,11436,2133,2053,80,109783
2024,black,4347,1808,1772,36,68454
2024,certified,9002,2372,2372,0,117091
2024,"clearly donruss",3154,704,664,40,33322
2024,contenders,8668,421,403,18,12225
2024,"contenders optic",5851,2552,2342,210,53632
2024,donruss,11752,1417,1107,310,57778
2024,elite,7786,1087,883,204,60754
2024,encore,4532,359,359,0,25688
2024,"gold standard",5323,1620,1620,0,74056
2024,illusions,9599,2019,1984,35,117123
2024,impeccable,3562,1666,1666,0,34057
2024,luminance,4476,1300,986,314,64045
2024,mosaic,21403,2044,1539,505,50208
2024,"national treasures collegiate",4583,2949,2300,649,50321
2024,obsidian,8540,2115,1776,339,67135
2024,optic,15040,1257,1150,107,55628
2024,origins,5299,1529,1428,101,39215
2024,phoenix,20751,2162,1691,471,66988
2024,photogenic,4074,1144,973,171,17061
2024,prestige,13822,1531,1325,206,54767
2024,prizm,30231,2445,2057,388,71220
2024,"prizm deca",5109,709,594,115,9798
2024,"prizm draft picks",12308,3905,2765,1140,100257
2024,"rookies and stars",6522,852,852,0,92481
2024,score,15263,1295,1001,294,19170
2024,"score halloween",1047,0,0,0,0
2024,select,27698,3770,3544,226,141786
2024,spectra,13095,3416,3416,0,87628
2024,"totally certified",8706,964,866,98,23538
2024,zenith,6494,1469,1255,214,51406
